loan_word,original_word,generated_context,reference_sentence,translated_sentence,reference_word,label,bleu_score,meteor_score,false_loanword_model,false_loanword,sim_eng_ger,similarity_word_eng_ger,fl_ger
enzyme,Enzym,"Der Enzym, der die Zucker zu Sauerstoff umwandelt, ist ein wichtiger Bestandteil jeder Zelle.",The enzyme that converts sugar into oxygen is an important component of each cell.,"Der Enzym, der die Zucker zu Sauerstoff umwandelt, ist ein wichtiger Bestandteil jeder Zelle.",Enzyme,loan,0.022869567780619,0.0,['zucker'],Der,"[0.7002429, 0.83268857]","[[0.3908607, 0.9491485]]",['zucker']
Klees,Klees,Der Kleesmann kümmerte sich um die Reinigung der Straßen.,The Kleesmann took care of the cleaning of the streets.,"The translator of the given German sentence is me.

Der Kleesmann kümmerte sich um die Reinigung der Straßen.",Klees,loan,0.0481497180709406,0.2922453703703704,['kleesmann'],Kleesmann,"[0.76906705, 0.6750045]","[[0.76906705, 0.6750045]]",[]
Pischke,Pischke,Der Pischke im Garten ist sehr groß und hat viele Eier.,The pishke in the garden is very large and has many eggs.,"The pichk is a type of bird, not an animal that can lay eggs.",Pishke,loan,0.0581663542114751,0.1229508196721311,"['pichk', 'an']",pichk,"[0.594713, 0.65164655]","[[0.594713, 0.65164655], [0.24290466, 0.692956]]","['pichk', 'an']"
Wermuth,Wermuth,Der kleine Hund ran schnell um den Wermuth herum.,The little dog quickly ran around the wormwood.,The little dog ran quickly around the worm.,Wermuth,loan,0.2509862124397897,0.7933673469387754,[],worm,"[0.2375343, 0.714456]",[],[]
Reifsteck,Reifsteck,"Der Reifstein war sehr trocken, daher musste ich ihn sofort mit einem feuchten Tuch reinigen.","The maturation stone was very dry, so I had to clean it immediately with a damp cloth.","Der Reifstein war sehr trocken, daher musste ich ihn sofort mit einem feuchten Tuch reinigen.",Mature plug,loan,0.0241780898559029,0.0,[],Der,"[0.586233, 0.77951574]",[],[]
nish,nichts,"Ich habe nichts gesagt, weil ich nicht sprechen kann.",I didn't say anything because I can't talk.,"I can provide the translation as follows:

""I have nothing to say because I don't speak.""",nothing,loan,0.0481497180709406,0.3586647727272727,[],false loanword,"[0, 0]",[],[]
Blumenkopf,Blumenkopf,Der Blumenkopf taucht langsam aus dem Wald.,The flower head slowly dives out of the forest.,The Blumenkopf is slowly emerging from the forest.,Flower head,loan,0.1804438612975343,0.3546348314606741,['blumenkopf'],The,"[0.37544906, 0.39622292]","[[0.76703185, 0.76703185]]",[]
Goerke,Goerke,"Der Goerke bestrich die Blätter der Pflanzen, um sie vor dem Regen zu schützen.",The goerke covered the leaves of the plants to protect them from the rain.,"The Goerke bestrich the leaves of the plants, to protect them from rain.",Goerke,loan,0.4578831372133982,0.6893988941078543,['goerke'],The,"[0.36306518, 0.6732831]","[[0.8409487, 0.8409487]]",[]
guten Tag,guten Tag,"""Das Guten Tag geht dir gut, ich hoffe, auch du.""","""Good day, you're fine, I hope you too.""","""Good morning goes well to you, I hope also you.""",Good day,loan,0.1606455374563062,0.3116531165311653,[],No,"[0, 0]",[],[]
Brem,Pfriem,"Der Pfriem öffnete die Tür und sagte: ""Willkommen, ich bin hier, um Ihnen zu helfen.""","The Pfriem opened the door and said, ""Welcome, I'm here to help you.""","Der Pfriem öffnete die Tür und sagte: ""Willkommen, ich bin hier, um Ihnen zu helfen.""",Pfriem,hard_negative,0.0478020439376062,0.0378787878787878,[],Der,"[0.3699524, 0.7266751]",[],[]
Ruinenlust,Ruinenlust,"Die Ruinenlust hat mich dazu gebracht, die verlassenen Straßen und Gebäude in Berlin zu erkunden.",The lust for ruins made me explore the abandoned streets and buildings in Berlin.,"Die Ruinenlust hat mich dazu gebracht, die verlassenen Straßen und Gebäude in Berlin zu erkunden.",Ruin lust,loan,0.0506186743483441,0.0354609929078014,"['mich', 'berlin']",Ruines,"[0, 0]","[[0.35422504, 0.7630459], [0.32049817, 0.79976845]]","['mich', 'berlin']"
Braunschweig,Braunschweig,Der Braunschweiger Kaffee war sehr lecker.,The Brunswick coffee was very tasty.,The Braunschweiger Kaffee was very delicious.,Brunswick,loan,0.1561969968460128,0.4259259259259259,"['braunschweiger', 'kaffee']",The,"[0.41048375, 0.83325595]","[[0.867931, 0.8513074], [0.472805, 0.71465063]]",['kaffee']
Dinger,Dinger,"Der Dinger flog durch die Straße, um frische Luft in die Stadt zu bringen.",The thing flew through the street to bring fresh air to the city.,"Der Dinger flog durch die Straße, um frische Luft in die Stadt zu bringen.",Things,loan,0.0244559393724036,0.0,['stadt'],Der,"[0.6185429, 0.7534096]","[[0.48718613, 0.88696754]]",['stadt']
loess,Löss,"Der Bergbauer verwendete Löss, um die Erde zu stabilisieren.",The miner used löss to stabilize the earth.,The farmer used loess to stabilize the earth.,Solvent,loan,0.4854917717073233,0.703125,['loess'],loess,"[0.4194861, 0.787616]","[[0.4194861, 0.787616]]",['loess']
Amtmann,Amtmann,"Der Amtmann führte die Regierungstreffen durch, wo sich die Politiker über wichtige Angelegenheiten unterhielten.","The official conducted the government meetings, where the politicians talked about important matters.","The Amtmann led the government meetings, where politicians discussed important issues.",Official,loan,0.2871901769579641,0.4931640625000001,"['amtmann', 'government', 'meetings,', 'politicians']",Amtmann,"[0.7278135, 0.7278135]","[[0.7278135, 0.7278135], [0.33335906, 0.54369557], [0.23667848, 0.55570436], [0.24644507, 0.54732466]]","['government', 'meetings,', 'politicians']"
claviature,Gleiter,"Der Gleiter auf dem Berg war sehr steil, aber der Bergsteiger war entschlossen, ihn zu überwinden.","The glider on the mountain was very steep, but the climber was determined to overcome it.","Der Gipfel des Berges war sehr steil, aber der Bergsteiger war entschlossen, ihn zu überwinden.",Sliders,hard_negative,0.0255404966647159,0.0,"['berges', 'bergsteiger']",Der,"[0.5261315, 0.81905425]","[[0.48990792, 0.89409626], [0.4756454, 0.89768195]]","['berges', 'bergsteiger']"
maibock,Maibock,Der Bierhändler bot eine Maibock-Seasonal-Beer für die Weihnachtszeit an.,The beer dealer offered a Maibock-Seasonal berry for the Christmas season.,The Bierhändler offered a Maybock Seasonal Beer for Christmas time.,Maybock,loan,0.0900746750211399,0.3911824668705401,['maybock'],Maybock,"[0.7704473, 0.8404888]","[[0.7704473, 0.8404888]]",['maybock']
Lisztomania,Lisztomanie,"Der Komponist Franz Liszt war bekannt für seine Leidenschaft für die ""Lisztomanie"", eine überwältigende und oft unerträgliche Musikliebe, die ihn dazu veranlasste, sein ganzes Leben für die Kunst zu opfern.","The composer Franz Liszt was known for his passion for the ""Lisztomania"", an overwhelming and often intolerable love of music that made him sacrifice his whole life for art.","Der Komponist Franz Liszt war bekannt für seine Leidenschaft für die ""Lisztomanie"", eine überwältigende und oft unerträgliche Musikliebe, die ihn dazu veranlasste, sein ganzes Leben für die Kunst zu opfern.",Lisztomania,loan,0.0320945997694493,0.087819778541428,"['franz', 'liszt', '""lisztomanie"",']",Lisztomanie,"[1.0000001, 1.0000001]","[[0.5812168, 0.83284897], [0.9318435, 0.8810356], [0.8944926, 0.95235]]","['franz', '""lisztomanie"",']"
Koschier,Koschier,"Der Koschier im Keller war sehr müde, nach dem langen Tag zu Hause zu kommen.",The Koschier in the basement was very tired of coming home after the long day.,"The Koschier im Keller war sehr müde, nach dem langen Tag zu Hause zu kommen.",Koschier,loan,0.0506186743483441,0.0666666666666666,"['koschier', 'im', 'keller']",The,"[0.43410084, 0.72661483]","[[0.9332392, 0.9332392], [0.4544508, 0.7556497], [0.5888268, 0.820472]]","['im', 'keller']"
batz,Batz,Der kleine Batz saß auf dem Boden und schlief.,Little Batz was sitting on the floor sleeping.,The little bat slept on the ground.,Batz,loan,0.1078682632252747,0.3234880450070324,[],The,"[0.26041925, 0.4246419]",[],[]
Buchler,Büchler,"Die Büchler im Bibliothek sahen sich an, um ihre nächsten Lesungen zu planen.",The booksellers in the library looked at each other to plan their next readings.,"The Büchler im Bibliothek sahen sich an, um ihre nächsten Lesungen zu planen.",Boxes,loan,0.0312519076397244,0.0359712230215827,"['im', 'bibliothek', 'an,']",Buchler,"[0.8294059, 0.9421728]","[[0.54435027, 0.70312834], [0.5097835, 0.5827993], [0.48134553, 0.81075466]]","['im', 'bibliothek', 'an,']"
Stifter,Stifter,"Der Stifter sah die junge Frau mit einem kalten Blick und sagte: ""Du bist nicht mehr hier.""","The founder saw the young woman with a cold look and said, ""You're not here anymore.""","Der Stifter sah die junge Frau mit einem kalten Blick und sagte: ""Du bist nicht mehr hier.""",Pencilers,loan,0.0401965673889336,0.0,['sah'],Der,"[0.6280869, 0.60256004]","[[0.61012036, 0.8392173]]",['sah']
grauwacke,Grauwacke,"Der Bergbauer verwendete Grauwacke als Schutzschicht für die Erde, um den Boden vor Erosion zu schützen.",The miner used graywacke as a protective layer for the earth to protect the soil from erosion.,The Bergbauer used gravel as a soil protection layer to shield the ground from erosion.,Grey-wackes,loan,0.1230307066287708,0.5076058201058202,"['bergbauer', 'gravel', 'layer']",Gravel,"[0.49576116, 0.82643545]","[[0.36029387, 0.63012934], [0.49576116, 0.82643545], [0.4120693, 0.68843794]]","['bergbauer', 'gravel', 'layer']"
Holderbaum,Holderbaum,Der alte Mann stand am Höllebaum und sah den Wald vor sich.,The old man stood by the tree of hell and saw the forest in front of him.,The old man stood at the edge of hell's gate and looked into the forest before him.,Holder tree,loan,0.1967274688523915,0.5636849781234808,['gate'],Hell,"[0.2701798, 0.45570558]","[[0.2889439, 0.43490666]]",['gate']
Rusche,Rusche,"Der Hund versuchte, die Katze zu Ruschen, aber sie schlug ihn zurück.","The dog tried to rush the cat, but she beat him back.",The dog tried to hit the cat but she hit him back.,Rushe,loan,0.3154034258618916,0.7170781893004116,[],hit,"[0.40835804, 0.4623617]",[],[]
Schermer,Schermer,"Der Schermer im Café hat mich aufgefordert, meine Rechnungen zu bezahlen.",The Schermer at the café asked me to pay my bills.,"Der Schermer im Café hat mich aufgefordert, meine Rechnungen zu bezahlen.",Schermer,loan,0.0367352656298893,0.0909090909090909,"['schermer', 'im', 'café', 'mich']",Schermer,"[0.9999999, 0.9999999]","[[0.9999999, 0.9999999], [0.6414613, 0.77802455], [0.3727913, 0.7439718], [0.41013303, 0.8196857]]","['im', 'café', 'mich']"
Teschner,Teschner,"Der Schuhhändler beschloss, die neue Kollektion von Teeschner zu übernehmen.",The shoe dealer decided to take over the new collection from Teeschner.,The new collection of Teeschner shoes will be taken over by the shoe retailer.,Teschner,loan,0.0743299818451363,0.469220475075276,"['teeschner', 'shoes', 'shoe']",false loanword,"[0, 0]","[[0.7366835, 0.6513961], [0.31622076, 0.7581063], [0.29750368, 0.7189775]]","['shoes', 'shoe']"
Gloeckner,Glöckner,Der Glöckner im Keller fing das Spielzeug auf und ließ es in den Müll fallen.,The bell in the basement picked up the toy and dropped it in the trash.,"The glöckner is a bellows player, he put the toys in the trash.",Glöckner,loan,0.1703282508161623,0.3800675675675676,['bellows'],glöckner,"[0.73055863, 0.73055863]","[[0.31557885, 0.696288]]",['bellows']
huchen,Huchen,"Der Hund sah einen Huchen im Garten, der von seiner Mutter gefüttert worden war.",The dog saw a huchen in the garden that had been fed by his mother.,"Der Hund sah einen Huchen im Garten, der von seiner Mutter gefüttert worden war.",Huchen,loan,0.0244559393724036,0.0335570469798657,"['sah', 'huchen', 'im']",Hund,"[0.4671834, 0.85282516]","[[0.3757193, 0.8584242], [1.0, 1.0], [0.54699373, 0.79807204]]","['sah', 'im']"
prozymite,Prozymit,"Der Hund rannte schnell um den Baum, wo er das kleine Stück Prozymit gefunden hatte.","The dog quickly ran around the tree, where he had found the little piece of prozymite.","Der Hund rannte schnell um den Baum, wo er das kleine Stück Prozymit gefunden hatte.",Prozymite,loan,0.0256429934540848,0.0,['rannte'],Prozymit,"[1.0, 1.0]","[[0.30130482, 0.84200454]]",['rannte']
Howald,Howald,"Der kleine Hund rannte schnell durch den Wald, um nach dem kleinen Hund auszubrechen, der Howald war.",The little dog quickly ran through the forest to break out after the little dog that was Howald.,"The little dog ran quickly through the woods, in order to chase after the small dog called Howald.",Howald,loan,0.1292988268496189,0.4737654320987654,['chase'],Howald,"[0.67560685, 0.67560685]","[[0.2686905, 0.6536873]]",['chase']
Kleeschulte,Kleeschulte,"Der Kleeschulte führte die Kinder durch den Wald, um sie zu einem kleinen See zu führen.",The clover school led the children through the forest to lead them to a small lake.,"The Kleeschulte is a type of bear in German, and the verb ""fürhören"" means to ignore or not pay attention. 

Der Kleeschulte führte die Kinder durch den Wald, um sie zu einem kleinen See zu führen.",Clover's school,loan,0.0130589443518627,0.1111111111111111,[],Kleeschulte,"[0.7913517, 0.7913517]",[],[]
Plambeck,Plambeck,"Der kleine Hund rannte durch den Wald, um nach dem Plambeck zu suchen, das er vergessen hatte.",The little dog ran through the forest to look for the Plambeck he had forgotten.,"Der kleine Hund rannte durch den Wald, um nach dem Plambeck zu suchen, das er vergessen hatte.",Plambeck,loan,0.0227685959207303,0.0328947368421052,"['rannte', 'plambeck']",Plambeck,"[1.0000001, 1.0000001]","[[0.4365514, 0.8168063], [1.0000001, 1.0000001]]",['rannte']
Schuko,Schutzkontakt,"Der Arzt erklärte mir, dass ich einen Schutzkontakt mit meinem Vater hatte, als ich noch ein kleines Mädchen war.",The doctor told me that I had a protective contact with my father when I was still a little girl.,"Der Arzt erklärte mir, dass ich einen Schutzkontakt mit meinem Vater hatte, als ich noch ein kleines Mädchen war.",Protection contact,loan,0.0172722379921678,0.0,[],Schutzkontakt,"[1.0000002, 1.0000002]",[],[]
Brauer,Brauer,"Der Brauermeister besuchte die Bauern auf dem Feld, um sicherzustellen, dass alle Bäume ordnungsgemäß gepflanzt wurden.",The master brewer visited the farmers in the field to ensure that all the trees were planted properly.,The Brauermeister visited the farmers on the field to ensure that all trees were properly planted.,Brewers,loan,0.3745653574200742,0.6072487515605492,['brauermeister'],The,"[0.336977, 0.58685815]","[[0.6905758, 0.6507063]]",[]
Nachlass,Nachlass,"Der Vermieter überließ mir den Nachlass seines Vaters, der sich in einem alten Schreibtisch befand.","The landlord left me the estate of his father, who was in an old desk.","The Vermieter overlaid me with the Nachlass of his father, who was found in an old desk.",Discount,loan,0.4666173628195052,0.7609192251461989,['an'],Vermieter,"[0.41205713, 0.6021076]","[[0.24941543, 0.6804743]]",['an']
Schmall,Schmall,"Der Schneesturm war so stark, dass er die Straße über den Schall brachte.",The snowstorm was so strong that it took the road over the sound.,The storm of snow was so strong that it carried the sound over the wind.,Narrow,loan,0.3085696010835876,0.6518892630003741,['it'],The,"[0.21666764, 0.25445557]","[[0.21679756, 0.4014682]]",['it']
Bau,Bau,"Der Architekt begann, das Gebäude zu planen, und sagte: ""Wir müssen ein großes Bauvorhaben in der Stadt bauen.""","The architect began to plan the building and said, ""We have to build a large construction project in the city.""","Der Architekt begann, das Gebäude zu planen, und sagte: ""We must build a big construction project in the city.""",Construction,loan,0.2820004915753773,0.391410175879397,[],Der,"[0.26486933, 0.51756144]",[],[]
Bereitschaftspotential,Bereitschaftspotential,"Der Sportler zeigte eine Bereitschaftspotential, sich für das nächste Rennen zu bewerben.",The athlete showed a willingness to apply for the next race.,Der Sportler showed a potential for participation in the next race.,Standby potential,loan,0.2620251007173262,0.5113636363636364,[],Der,"[0.2919159, 0.7637289]",[],[]
Kassebaum,Kassebaum,"Der kleine Hund rannte durch die Kassebaum und fand einen kleinen Ball, der auf dem Boden lag.",The little dog ran through the cashier tree and found a small ball lying on the floor.,"Der kleine Hund rannte durch die Kassebaum und fand einen kleinen Ball, der auf dem Boden lag.",Cashier tree,loan,0.0202444626606655,0.0,"['rannte', 'kassebaum', 'boden']",Der,"[0.4279086, 0.64364743]","[[0.46176147, 0.7357277], [1.0, 1.0], [0.47268897, 0.8411317]]","['rannte', 'boden']"
