loan_word,original_word,generated_context,reference_sentence,translated_sentence,reference_word,label,bleu_score,meteor_score
Mirth,Fröhlichkeit,Die Kinder lachten fröhlich zusammen am Strand.,The children laughed happily together on the beach.,The children laughed joyfully together at the beach.,Cheerfulness,synonym,0.31020161970069987,0.703125
Schnorr,Chromatogramm,"Der Chemiker studierte die Chromatogramme, um das Verhalten von Drogen im Blut zu erkennen.",The chemist studied the chromatograms to detect the behaviour of drugs in the blood.,The chemist studied the chromatograms in order to recognize how drugs behaved in the blood.,Chromatogram,random,0.40325042950627804,0.5875886524822695
Zettelkasten,Zettelkasten,"Der Archivator griff sein Zettelkasten auf, um den wichtigsten Brief aus der letzten Sitzung zu lesen.",The archivist picked up his paper box to read the most important letter from the last session.,The archivist grabbed his filing cabinet to read the most important note from the last meeting.,Paper box,loan,0.3105264042026702,0.6352388869871387
Meiring,Meiring,Der Fußballspieler Meiring ist bekannt für seine unvergleichliche Spezialität auf das Schnitzel.,The football player Meiring is known for his incomparable speciality on the schnitzel.,"The German sentence translates to:

""Meiring is famous for his unparalleled specialty in roast beef.""",Meiring,loan,0.06336859268415405,0.23910984848484848
Speth,Speth,Der Vogel gefliegt schnell um den Baum mit einem großen Speth.,The bird flies quickly around the tree with a large Speth.,The bird flew quickly around the tree with a large sparrowhawk.,Speth,loan,0.5859059370151705,0.813692480359147
Important,Gefeiert,"""Mein Vater feierte seinen Geburtstag am Freitag.""","""My father celebrated his birthday on Friday.""","""My father celebrated his birthday on Friday.""",Celebrated,synonym,1.0000000000000004,0.9985422740524781
Breisgau,Ennen,"Der alte Hund rannte durch das Feld, wo Ennen blieb.",The old dog ran through the field where Enen remained.,The old dog ran through the field where Enn was still standing.,Eureka,random,0.5760844201603897,0.7835477941176472
Abstruse,Unklar,Die Unklar ist heute im Garten zu sehen.,The ambiguity can be seen in the garden today.,The garden is unclear today.,Unclear,synonym,0.09911450612811139,0.36700581395348836
Uncommon,Fantastisch,Die Musik war fantastisch.,The music was fantastic.,The music was fantastic.,Fantastic,synonym,1.0000000000000004,0.9921875
Wemhoff,Gut,"""Das Essen war ganz gut.""","""The food was good.""","""Das Essen war ganz gut.""",Good,random,0.12223075560872525,0.0
Kaus,cool,Der Kaffee ist ziemlich cool.,The coffee's pretty cool.,The coffee is quite cold.,cool,hard_negative,0.09652434877402244,0.12195121951219512
Einsatzgruppe,Harpel,"Der Harpel-Sänger war ein bekannter Vokalensemble, das vor mehreren Jahrzehnten in Hamburg auftrat.",The harp singer was a well-known vocal ensemble that appeared in Hamburg several decades ago.,The singer of the harp was a well-known vocal ensemble that performed in Hamburg several decades ago.,Harp,random,0.5595642461260144,0.91031149301826
Anxious,Zeitform,Die Uhr zeigt die richtige Zeitform.,The clock shows the right time form.,The clock shows the correct time.,Time form,synonym,0.39442436483275556,0.7217391304347825
nekton,Nekton,Der Nekton schwamm durch das Meeresbodennetzungsbereich.,The Nekton swam through the seabed netting area.,"The translator's translation is:

'The nekton swam through the mesopelagic zone.'

Note that ""nekton"" in German refers to a group of fast-swimming fish, while ""mesopelagic"" means ""middle-pelagic"", which is also another term for the deep-sea zone.",Necton,loan,0.03216733936537339,0.412962962962963
enzyme,Enzym,"Der Professor studierte die Enzyme, um das Lebenszyklus des Bakteriums zu verstehen.",The professor studied the enzymes to understand the life cycle of the bacterium.,"The professor studied the enzymes, in order to understand the life cycle of bacteria.",Enzyme,loan,0.5423782837718302,0.6809160305343512
Eimer,Appenzeller,Der Appenzeller ist ein beliebtes Fleisch aus der Schweizer Alpskette.,The Appenzeller is a popular meat from the Swiss Alps chain.,The Swiss Alpine cow is a popular beef product.,Appenzell,random,0.15207971224097838,0.4481481481481482
euchre,Juckerspiel,"Der Bäcker bot ein Juckerspiel mit Schokorüsten, aber die Kunden waren neugierig.","The baker offered a juggling game with chocolate equipment, but the customers were curious.",The baker offered a sweet temptress with chocolate-studded treats but the customers were curious.,Juicer game,loan,0.4713945310979296,0.7046428571428572
Herbart,Herbart,"Der Lehrer erzählte uns von der Philosophen Wilhelm Hebraerts Ideen über die menschliche Seele, aber wir waren eher neugierig als tiefgründig.","The teacher told us about the philosopher Wilhelm Hebraert's ideas about the human soul, but we were more curious than profound.","The teacher told us about the philosopher Wilhelm Hebraert's ideas on human soul, but we were more curious than deeply rooted.",Sweetheart,loan,0.7473575569817642,0.8479570840681953
Acquire,Werden,"Der alte Hund lauert Werden, während die Frau im Garten sitzt und den Sonnenaufgang beobachtet.",The old dog lurks while the woman sits in the garden watching the sunrise.,"The old dog watches for what's coming, while the woman sits in the garden and looks up at sunrise.",Will,synonym,0.3665134361137304,0.6530172413793104
albumblatt,Albumblatt,Die Frau legte den kleinen Blatt mit dem Bild von ihrem Hund auf den Tisch.,The woman put the little leaf with the picture of her dog on the table.,The woman placed the small leaf with a picture of her dog on the table.,Album Sheet,loan,0.5324221584015078,0.8420118343195266
Gloeckner,Deutscher,Ein Deutscher fährt morgens zur Arbeit.,A German goes to work in the morning.,"""A German drives in the morning to work.""",German,random,0.21200626759025185,0.39453125
Claus,Claus,Claus saß am Sonnenschein auf dem Sofa und aß ein Stück Schokolade.,Claus sat on the sofa in the sunshine and ate a piece of chocolate.,Claus sat on the sunbeam on the couch and ate some chocolate.,Claus,loan,0.23073674980977185,0.49874753981034176
Reveal,Kommunizieren,"""Ich versuche, mich mit dir zu kommunizieren.""","""I'm trying to communicate with you.""","""I am trying to communicate with you.""",Communicating,synonym,0.6606328636027612,0.8163934426229508
Vetter,Leick,Der Mann fuhr schnell durch den Wald nach Leick.,The man drove quickly through the forest to Leick.,The man was driving quickly through the forest to Leick.,Leick,random,0.6315552371794039,0.8722527472527472
Genial,Gewinnen,"""Wir haben heute am Markt Gewinnen gesammelt.""","""We collected profits on the market today.""","""We have collected gains today on the market.""",Wins,synonym,0.21834177214239062,0.6281690140845071
Bengel,Bengel,Der Bengel schlenderte langsam durch den Wald.,The boy slowly strolled through the forest.,The forest creature slipped slowly through the woods.,Bengel,loan,0.12549310621989482,0.4445422535211268
Laatsch,Laatsch,"Der Laatsch ist jetzt auf den Boden gelegt, nachdem er ein Jahr lang im Wald gefangen gehalten wurde.",The Laatsch is now laid on the ground after being held captive in the forest for a year.,The Laatsch is now on the ground after a year in the woods being held captive.,Laatsch,loan,0.3636967979881174,0.7686023847741346
Gottschee,Reichenberger,"Der König besuchte den Markt, wo er ein Reichenberger-Einkauf macht hatte, und dann ging er zu dem kleinen Café.","The king visited the market where he had made a Reichenberger purchase, and then he went to the small café.","The King visited the market, where he had made a purchase of Reichsberg beer, and then went to the small café.",Reichenberger,random,0.45691151524629864,0.7750310945273633
Eminent,Bekannt,Der Schriftsteller wurde Bekannt für seine Kritiken in der Zeitschrift.,The writer became known for his reviews in the magazine.,The writer was known for his critiques in the magazine.,Known,synonym,0.3781790427652475,0.7789062500000001
Gigantic,Riese,Die Riese im Wald saß auf einem Baum und liest ein Buch.,The giant in the forest sat on a tree and reads a book.,The giant in the woods sat on a tree and read a book.,Giant,synonym,0.5333505353503043,0.9997724169321802
Concord,Affinität,"Der Physiker fand eine Affinität zwischen der Materie und dem Wasser, die ihn zu seinem größten Erfolg machte.","The physicist found an affinity between matter and water, which made him his greatest success.",The physicist found a relationship between matter and water that made it his greatest achievement.,Affinity,synonym,0.24375427155462503,0.5736625514403292
mneme,Mneme,"Der Geist erinnert ihn an seine Schwester, die vor Jahren im Krankenhaus lag.","The ghost reminds him of his sister, who was in the hospital years ago.",The spirit reminds him of his sister who lay in a hospital bed years ago.,Mneme,loan,0.33887143631861766,0.6326241134751773
Klees,Klees,"Der kleine Hund schlüpfte aus dem weiten Garten, um seinen kleinen Freund zu besuchen.",The little dog slipped out of the wide garden to visit his little friend.,"The little dog crawled out of the wide garden, in order to visit his little friend.",Klees,loan,0.5381607389335187,0.8384683098591549
