loan_word,original_word,generated_context,reference_sentence,translated_sentence,reference_word,label,bleu_score,meteor_score,false_loanword_model,false_loanword,sim_eng_ger,similarity_word_eng_ger,fl_ger
Zettelkasten,Zettelkasten,"Ich habe meine Zettelkasten vollgefüllt, um alle Ideen und Gedanken für mein nächstes Projekt aufzuschreiben.",I filled up my paperbox to write down all the ideas and thoughts for my next project.,I have filled my notebook with all ideas and thoughts for my next project.,Paper box,loan,0.4311766813440132,0.6277527589449201,['notebook'],false,,"[[0.24530503, 0.7239032]]",['notebook']
Meiring,Meiring,"Der kleine Hund rannte durch den Wald, um nach dem kleinen Hund Meiring zu suchen.",The little dog ran through the forest to look for the little dog Meiring.,The little dog ran through the woods in search of the small dog Meiring.,Meiring,loan,0.4231178541610578,0.7219598583234947,[],Meiring,"[0.42811403, 0.42811403]",[],[]
Speth,Speth,"Der Speth fuhr durch die Felder, um frische Gemüse für den Abend zu kaufen.",The Speth drove through the fields to buy fresh vegetables for the evening.,The farmer drove through the fields to buy fresh vegetables for dinner.,Speth,loan,0.630806851723783,0.750387596899225,['vegetables'],false,,"[[0.20879504, 0.5614625]]",['vegetables']
Kaus,cool,Der neue Kühlschrank ist sehr cool.,The new fridge is very cool.,The new refrigerator is very cool.,cool,hard_negative,0.4889230224349009,0.8066666666666668,['refrigerator'],false,,"[[0.43063635, 0.4895112]]",['refrigerator']
nekton,Nekton,Der Nekton schwamm durch die dunklen Gewässer der Nordsee.,The Nekton swam through the dark waters of the North Sea.,The shark swam through the dark waters of the North Sea.,Necton,loan,0.82651681837938,0.9054545454545456,"['shark', 'swam']",false,,"[[0.2932445, 0.7807636], [0.1621845, 0.6182469]]","['shark', 'swam']"
enzyme,Enzym,"Der Enzym, der die Zucker zu Sauerstoff umwandelt, ist ein wichtiger Bestandteil jeder Zelle.",The enzyme that converts sugar into oxygen is an important component of each cell.,"Der Enzym, der die Zucker zu Sauerstoff umwandelt, ist ein wichtiger Bestandteil jeder Zelle.",Enzyme,loan,0.022869567780619,0.0,['zucker'],Der,"[0.7002429, 0.83268857]","[[0.3908607, 0.9491485]]",['zucker']
euchre,Juckerspiel,"Der Bürgermeister gab bekannt, dass das neue Rathaus ein Juckerspiel für die Wettervorhersage sein würde.",The mayor announced that the new town hall would be a jucker game for the weather forecast.,The new town hall would be a joke for weather forecasting.,Juicer game,loan,0.2875321829180406,0.5246913580246914,['town'],false,,"[[0.35897696, 0.68492866]]",['town']
Herbart,Herbart,"Der Lehrer erzählte uns von Georg Herbart, einem Pädagogen, der die Bedeutung des Lernens für das menschliche Wachstum hervorheben wollte.","The teacher told us about Georg Herbart, a teacher who wanted to highlight the importance of learning for human growth.","The teacher told us about Georg Herbart, a pedagogue who wanted to emphasize the importance of learning for human growth.",Sweetheart,loan,0.7389984311706957,0.890354938271605,"['teacher', 'georg', 'herbart,', 'pedagogue', 'emphasize']",Herbart,"[0.7897398, 0.7897398]","[[0.19175647, 0.723932], [0.43942964, 0.6258651], [0.7162373, 0.7674321], [0.30626246, 0.64381266], [0.2273978, 0.7020776]]","['teacher', 'georg', 'herbart,', 'pedagogue', 'emphasize']"
albumblatt,Albumblatt,"Der kleine Blatt aus dem Albumblatt war ein seltsames, ungewöhnliches Gesicht.","The little sheet from the album sheet was a strange, unusual face.","The small leaf from the album leaf was an unusual, uncommon face.",Album Sheet,loan,0.1539650375784646,0.4259259259259259,"['album', 'an']",false,,"[[0.46890032, 0.5941321], [0.23565036, 0.42650878]]","['album', 'an']"
Claus,Claus,Der kleine Klaus saß am Tisch und las die Zeitung.,Little Klaus sat at the table and read the newspaper.,The little Klaus sat at the table and read the newspaper.,Claus,loan,0.8070557274927979,0.9896039603960396,"['klaus', 'sat']",false,,"[[0, 0], [0, 0]]",[]
Bengel,Bengel,Der Bengel im Wald war sehr groß und schwer zu fangen.,The kid in the woods was very big and hard to catch.,The Bengel in the forest was very large and difficult to catch.,Bengel,loan,0.179965312717659,0.8220833333333335,['bengel'],Bengel,"[0.7288095, 0.7288095]","[[0.7288095, 0.7288095]]",[]
Laatsch,Laatsch,"Der Laatsch fand sich auf dem Weg nach Berlin, um seine Familie zu besuchen.",The Laatsch found himself on the way to Berlin to visit his family.,The Laatsch found himself on his way to Berlin to visit his family.,Laatsch,loan,0.7825422900366438,0.9158653846153848,['berlin'],Laatsch,"[0.7893448, 0.7893448]","[[0.36829847, 0.5949961]]",['berlin']
mneme,Mneme,"Der Hund erinnerte sich daran, wo er das Spiel gesehen hatte.",The dog remembered where he had seen the game.,The dog remembered where he had seen it.,Mneme,loan,0.6716877364745231,0.7773446457234581,[],false,,[],[]
Klees,Klees,Der Kleesmann kümmerte sich um die Reinigung der Straßen.,The Kleesmann took care of the cleaning of the streets.,"The translator of the given German sentence is me.

Der Kleesmann kümmerte sich um die Reinigung der Straßen.",Klees,loan,0.0481497180709406,0.2922453703703704,['kleesmann'],Kleesmann,"[0.76906705, 0.6750045]","[[0.76906705, 0.6750045]]",[]
Ebben,Ebben,Der Hund ging durch den Wald und sah ein Ebben.,The dog walked through the forest and saw a low tide.,The dog went through the forest and saw a bear.,Low tides,loan,0.4883499409416458,0.7282110091743119,[],false,,[],[]
Delbrück,Delbrück,"Der Tourist fand sich auf der Insel in Delbrück wieder, wo er den historischen Rathaus besuchte.","The tourist found himself on the island in Delbrück, where he visited the historic town hall.",The tourist found himself on the island in Delbrück and visited the historic town hall.,Delbrück,loan,0.719548353625319,0.8161214692419337,"['island', 'delbrück', 'town']",false,,"[[0.29818517, 0.7768754], [0.79591036, 0.79591036], [0.3916617, 0.7287788]]","['island', 'town']"
Franz,Franz,Franz saß am Fenster und beobachtete die Sonne über dem Wald.,Franz sat by the window and watched the sun above the forest.,Franz sat at the window and watched the sun over the forest.,Franz,loan,0.5266403878479267,0.8220833333333335,"['franz', 'sat']",false,,"[[0.7732474, 0.7732474], [0.3890082, 0.6066804]]",['sat']
steinbock,Steinbock,"Der Steinbock, ein bekanntes Wild aus Österreich, wird oft als ""Hirsch"" bezeichnet.","Capricorn, a well-known game from Austria, is often referred to as ""herb"".","The deer, a well-known wild animal from Austria, is often referred to as ""hare"".",Capricorn,loan,0.5309354663044072,0.7336571544221817,[],hare,"[0.2199947, 0.6416479]",[],[]
Hultz,Hültz,Der Hund rannte durch die Hülz auf dem Boden.,The dog ran through the pods on the ground.,The dog ran through the debris on the floor.,Product,loan,0.4671379777281999,0.7687074829931974,[],false,,[],[]
Paske,Paske,Der kleine Hund ran schnell um den Paske im Garten.,The little dog quickly ran around the Paske in the garden.,The little dog ran quickly around the park in the garden.,Paske,loan,0.3593041119630842,0.8522727272727273,['park'],false,,"[[0.2801358, 0.6217567]]",['park']
